"","pollster","date_start","date_median","date_end","mode","sample_size","sample_space","percent_biden","percent_trump","state_abb","state_full"
"52","HarrisX",2019-09-21,2019-09-21,2019-09-22,"Internet",1002,"RV",45,37,"--","--"
"53","Emerson College",2019-09-21,2019-09-22,2019-09-23,"IVR/Internet",1019,"RV",51,50,"--","--"
"54","Civiqs",2019-09-21,2019-09-22,2019-09-24,"Internet",1548,"RV",47,43,"--","--"
"55","Ipsos",2019-09-23,2019-09-23,2019-09-24,"Internet",876,"RV",42,36,"--","--"
"56","Rasmussen Reports/Pulse Opinion Research",2019-09-23,2019-09-23,2019-09-24,"IVR/Internet",1000,"LV",43,47,"--","--"
"57","Ipsos",2019-09-26,2019-09-28,2019-09-30,"Internet",1917,"RV",43,36,"--","--"
"58","IBD/TIPP",2019-09-26,2019-09-29,2019-10-03,"Live Phone",863,"RV",51,44,"--","--"
"59","HarrisX",2019-10-01,2019-10-01,2019-10-02,"Internet",1000,"RV",44,35,"--","--"
"60","Zogby Analytics",2019-10-01,2019-10-02,2019-10-03,"Internet",887,"LV",45,47,"--","--"
"61","Quinnipiac University",2019-10-04,2019-10-05,2019-10-07,"Live Phone",1483,"RV",51,40,"--","--"
"62","Fox News",2019-10-06,2019-10-07,2019-10-08,"Live Phone",1003,"RV",50,40,"--","--"
"63","YouGov",2019-10-06,2019-10-07,2019-10-08,"Internet",1241,"RV",47,43,"--","--"
"64","YouGov",2019-10-13,2019-10-14,2019-10-15,"Internet",1136,"RV",48,41,"--","--"
"65","SurveyUSA",2019-10-15,2019-10-15,2019-10-16,"Internet",3080,"RV",52,41,"--","--"
"66","Ipsos",2019-10-17,2019-10-17,2019-10-18,"Internet",945,"RV",47,38,"--","--"
"67","CNN/SSRS",2019-10-17,2019-10-18,2019-10-20,"Live Phone",892,"RV",53,43,"--","--"
"68","Emerson College",2019-10-18,2019-10-19,2019-10-21,"IVR/Internet",1000,"RV",51,49,"--","--"
"69","Civiqs",2019-10-19,2019-10-20,2019-10-22,"Internet",1333,"RV",46,43,"--","--"
"70","YouGov",2019-10-20,2019-10-21,2019-10-22,"Internet",1204,"RV",47,41,"--","--"
"71","Morning Consult",2019-10-25,2019-10-26,2019-10-28,"Internet",1997,"RV",41,36,"--","--"
"72","IBD/TIPP",2019-10-24,2019-10-27,2019-10-31,"Live Phone",845,"RV",53,43,"--","--"
"73","Hofstra University",2019-10-25,2019-10-28,2019-10-31,"Internet",1500,"LV",52,49,"--","--"
"74","YouGov",2019-10-27,2019-10-28,2019-10-29,"Internet",1274,"RV",47,42,"--","--"
"75","ABC News/The Washington Post",2019-10-27,2019-10-28,2019-10-30,"Live Phone",876,"RV",56,39,"--","--"
"76","Fox News",2019-10-27,2019-10-28,2019-10-30,"Live Phone",1040,"RV",51,39,"--","--"
"77","NBC News/The Wall Street Journal",2019-10-27,2019-10-28,2019-10-30,"Live Phone",720,"RV",50,41,"--","--"
"78","YouGov",2019-11-03,2019-11-04,2019-11-05,"Internet",1201,"RV",47,42,"--","--"
"79","RealClear Opinion Research",2019-11-15,2019-11-18,2019-11-21,"Internet",2055,"RV",51,39,"--","--"
"80","Emerson College",2019-11-17,2019-11-18,2019-11-20,"IVR/Internet",1092,"RV",49,51,"--","--"
"81","SurveyUSA",2019-11-20,2019-11-20,2019-11-21,"Internet",3850,"RV",52,39,"--","--"
"82","Quinnipiac University",2019-12-04,2019-12-06,2019-12-09,"Live Phone",1553,"RV",51,42,"--","--"
"83","Zogby Analytics",2019-12-05,2019-12-06,2019-12-08,"Internet",865,"LV",45,46,"--","--"
"84","YouGov",2019-12-07,2019-12-08,2019-12-10,"Internet",1209,"RV",45,42,"--","--"
"85","Fox News",2019-12-08,2019-12-09,2019-12-11,"Live Phone",1000,"RV",48,41,"--","--"
"86","IBD/TIPP",2019-12-05,2019-12-09,2019-12-14,"Live Phone",849,"RV",50,45,"--","--"
"87","Suffolk University",2019-12-10,2019-12-12,2019-12-14,"Live Phone",1000,"RV",41,44,"--","--"
"88","CNN/SSRS",2019-12-12,2019-12-13,2019-12-15,"Live Phone",888,"RV",49,44,"--","--"
"89","YouGov",2019-12-14,2019-12-15,2019-12-17,"Internet",1164,"RV",48,42,"--","--"
"90","Emerson College",2019-12-15,2019-12-16,2019-12-17,"IVR/Internet",1222,"RV",52,48,"--","--"
"91","Meeting Street Insights",2019-12-28,2019-12-29,2019-12-30,"Internet",1000,"RV",49,38,"--","--"
"92","YouGov",2019-12-28,2019-12-29,2019-12-31,"Internet",1123,"RV",49,41,"--","--"
"93","Morning Consult",2019-12-30,2020-01-02,2020-01-05,"Internet",8436,"RV",46,40,"--","--"
"94","IBD/TIPP",2020-01-03,2020-01-07,2020-01-11,"Live Phone",846,"RV",48,46,"--","--"
"95","Morning Consult",2020-01-06,2020-01-09,2020-01-12,"Internet",8299,"RV",46,41,"--","--"
"96","YouGov",2020-01-11,2020-01-12,2020-01-14,"Internet",1108,"RV",45,44,"--","--"
"97","SurveyUSA",2020-01-14,2020-01-15,2020-01-16,"Internet",4069,"RV",50,43,"--","--"
"98","Zogby Analytics",2020-01-15,2020-01-15,2020-01-16,"Internet",882,"LV",46,46,"--","--"
"99","Morning Consult",2020-01-15,2020-01-17,2020-01-19,"Internet",5944,"RV",46,41,"--","--"
"100","CNN/SSRS",2020-01-16,2020-01-17,2020-01-19,"Live Phone",1051,"RV",53,44,"--","--"
"101","Fox News",2020-01-19,2020-01-20,2020-01-22,"Live Phone",1005,"RV",50,41,"--","--"
"102","ABC News/The Washington Post",2020-01-20,2020-01-21,2020-01-23,"Live Phone",880,"RV",50,46,"--","--"
"103","Echelon Insights",2020-01-20,2020-01-21,2020-01-23,"Internet",1000,"LV",49,40,"--","--"
"104","Echelon Insights",2020-01-20,2020-01-21,2020-01-23,"Internet",1000,"RV",49,41,"--","--"
"105","USC Dornsife",2020-01-15,2020-01-21,2020-01-28,"Internet",4869,"RV",49,40,"--","--"
"106","Emerson College",2020-01-21,2020-01-22,2020-01-23,"IVR/Internet",1128,"RV",50,50,"--","--"
"107","Morning Consult",2020-01-20,2020-01-23,2020-01-26,"Internet",8399,"RV",47,41,"--","--"
"108","IBD/TIPP",2020-01-23,2020-01-26,2020-01-30,"Live Phone",856,"RV",49,48,"--","--"
"109","NBC News/The Wall Street Journal",2020-01-26,2020-01-27,2020-01-29,"Live Phone",1000,"RV",50,44,"--","--"
"110","Morning Consult",2020-01-27,2020-01-30,2020-02-02,"Internet",7178,"RV",46,42,"--","--"
"111","AtlasIntel",2020-01-30,2020-01-31,2020-02-02,"Internet",1600,"RV",46,45,"--","--"
"112","Zogby Analytics",2020-01-31,2020-02-01,2020-02-02,"Internet",908,"LV",46,46,"--","--"
"113","Morning Consult",2020-02-04,2020-02-06,2020-02-09,"Internet",9045,"RV",45,42,"--","--"
"114","Quinnipiac University",2020-02-05,2020-02-07,2020-02-09,"Live Phone",1159,"RV",50,43,"--","--"
"115","Ipsos",2020-02-07,2020-02-08,2020-02-10,"Internet",952,"RV",44,42,"--","--"
"116","Zogby Analytics",2020-02-13,2020-02-13,2020-02-14,"Internet",1340,"LV",46,46,"--","--"
"117","Marist College",2020-02-13,2020-02-14,2020-02-16,"Live Phone",1164,"RV",50,44,"--","--"
"118","Morning Consult",2020-02-12,2020-02-14,2020-02-17,"Internet",7313,"RV",45,43,"--","--"
"119","SurveyUSA",2020-02-13,2020-02-15,2020-02-17,"Internet",2768,"RV",48,45,"--","--"
"120","ABC News/The Washington Post",2020-02-14,2020-02-15,2020-02-17,"Live Phone",913,"RV",52,45,"--","--"
"121","Ipsos",2020-02-14,2020-02-15,2020-02-17,"Internet",947,"RV",42,40,"--","--"
"122","NBC News/The Wall Street Journal",2020-02-14,2020-02-15,2020-02-17,"Live Phone",900,"RV",52,44,"--","--"
"123","Emerson College",2020-02-16,2020-02-17,2020-02-18,"IVR/Internet",1250,"RV",48,52,"--","--"
"124","YouGov",2020-02-20,2020-02-21,2020-02-22,"Internet",10000,"RV",47,45,"--","--"
"125","Ipsos",2020-02-19,2020-02-22,2020-02-25,"Internet",3809,"RV",47,40,"--","--"
"126","Fox News",2020-02-23,2020-02-24,2020-02-26,"Live Phone",1000,"RV",49,41,"--","--"
"127","IBD/TIPP",2020-02-20,2020-02-24,2020-02-29,"Live Phone",839,"RV",49,46,"--","--"
"128","Morning Consult",2020-02-23,2020-02-25,2020-02-27,"Internet",6117,"RV",46,42,"--","--"
"129","YouGov",2020-02-26,2020-02-26,2020-02-27,"Internet",1662,"RV",50,41,"--","--"
"130","Harris Poll",2020-02-26,2020-02-27,2020-02-28,"Internet",651,"RV",55,45,"--","--"
"131","CNN/SSRS",2020-03-04,2020-03-05,2020-03-07,"Live Phone",1084,"RV",53,43,"--","--"
"132","Morning Consult",2020-03-05,2020-03-06,2020-03-08,"Internet",6112,"RV",48,41,"--","--"
"133","Quinnipiac University",2020-03-05,2020-03-06,2020-03-08,"Live Phone",1261,"RV",52,41,"--","--"
"134","Rasmussen Reports/Pulse Opinion Research",2020-03-05,2020-03-06,2020-03-08,"IVR/Internet",1000,"LV",48,42,"--","--"
"135","Ipsos",2020-03-06,2020-03-07,2020-03-09,"Internet",956,"RV",44,42,"--","--"
"136","Hofstra University",2020-03-05,2020-03-08,2020-03-12,"Internet",1500,"LV",51,49,"--","--"
"137","GS Strategy Group",2020-03-07,2020-03-09,2020-03-11,"Live Phone",1000,"LV",48,42,"--","--"
"138","YouGov",2020-03-08,2020-03-09,2020-03-10,"Internet",1191,"RV",47,43,"--","--"
"139","Civiqs",2020-03-08,2020-03-09,2020-03-11,"Internet",1441,"RV",48,46,"--","--"
"140","YouGov",2020-03-10,2020-03-10,2020-03-11,"Internet",1240,"RV",45,41,"--","--"
"141","NBC News/The Wall Street Journal",2020-03-11,2020-03-12,2020-03-13,"Live Phone",900,"RV",52,43,"--","--"
"142","Morning Consult",2020-03-11,2020-03-13,2020-03-15,"Internet",9979,"RV",48,42,"--","--"
"143","Hart Research Associates",2020-03-13,2020-03-14,2020-03-15,"Internet",1015,"RV",51,43,"--","--"
"144","RMG Research",2020-03-13,2020-03-14,2020-03-15,"Internet",1000,"RV",47,43,"--","--"
"145","Ipsos",2020-03-13,2020-03-14,2020-03-16,"Internet",955,"RV",46,37,"--","--"
"146","YouGov",2020-03-15,2020-03-16,2020-03-17,"Internet",1129,"RV",48,41,"--","--"
"147","Emerson College",2020-03-18,2020-03-18,2020-03-19,"IVR/Internet",1100,"RV",53,47,"--","--"
"148","Morning Consult",2020-03-16,2020-03-19,2020-03-22,"Internet",18136,"RV",47,42,"--","--"
"149","Monmouth University",2020-03-18,2020-03-20,2020-03-22,"Live Phone",754,"RV",48,45,"--","--"
"150","Ipsos",2020-03-18,2020-03-21,2020-03-24,"Internet",3763,"RV",46,39,"--","--"
"151","Echelon Insights",2020-03-20,2020-03-22,2020-03-24,"Internet",1000,"LV",51,41,"--","--"
"152","Echelon Insights",2020-03-20,2020-03-22,2020-03-24,"Internet",1000,"RV",50,41,"--","--"
"153","Fox News",2020-03-21,2020-03-22,2020-03-24,"Live Phone",1011,"RV",49,40,"--","--"
"154","Redfield & Wilton Strategies",2020-03-23,2020-03-23,2020-03-23,"Internet",1500,"LV",49,41,"--","--"
"155","YouGov",2020-03-22,2020-03-23,2020-03-24,"Internet",1170,"RV",46,42,"--","--"
"156","ABC News/The Washington Post",2020-03-22,2020-03-23,2020-03-25,"Live Phone",845,"RV",49,47,"--","--"
"157","Firehouse Strategies/Øptimus",2020-03-21,2020-03-24,2020-03-28,"Internet",1032,"LV",51,43,"--","--"
"158","Harris Poll",2020-03-24,2020-03-25,2020-03-26,"Internet",1209,"RV",55,45,"--","--"
"159","Zogby Analytics",2020-03-24,2020-03-25,2020-03-26,"Internet",889,"LV",46,45,"--","--"
"160","YouGov",2020-03-25,2020-03-25,2020-03-26,"Internet",1169,"RV",46,40,"--","--"
"161","Morning Consult",2020-03-23,2020-03-26,2020-03-29,"Internet",17323,"RV",46,42,"--","--"
"162","Change Research",2020-03-26,2020-03-27,2020-03-28,"Internet",1845,"LV",49,43,"--","--"
"163","RMG Research",2020-03-26,2020-03-27,2020-03-28,"IVR/Internet",1000,"RV",45,40,"--","--"
"164","Selzer & Co.",2020-03-27,2020-03-28,2020-03-30,"Live Phone",777,"LV",47,43,"--","--"
"165","YouGov",2020-03-29,2020-03-30,2020-03-31,"Internet",1194,"RV",46,42,"--","--"
"166","IBD/TIPP",2020-03-29,2020-03-30,2020-04-01,"Internet",980,"RV",47,41,"--","--"
"167","Ipsos",2020-03-30,2020-03-30,2020-03-31,"Internet",930,"RV",46,40,"--","--"
"168","Firehouse Strategies/Øptimus",2020-03-28,2020-03-31,2020-04-04,"Internet",937,"LV",50,44,"--","--"
"169","Morning Consult",2020-03-30,2020-04-02,2020-04-05,"Internet",15493,"RV",46,42,"--","--"
"170","Change Research",2020-04-02,2020-04-02,2020-04-03,"Internet",1200,"LV",43,45,"--","--"
"171","Hart Research Associates",2020-04-03,2020-04-04,2020-04-05,"Internet",1003,"RV",50,43,"--","--"
"172","Quinnipiac University",2020-04-02,2020-04-04,2020-04-06,"Live Phone",2077,"RV",49,41,"--","--"
"173","CNBC/Hart Research/Public Opinion Strategies",2020-04-03,2020-04-04,2020-04-06,"Live Phone",604,"RV",44,39,"--","--"
"174","CNN/SSRS",2020-04-03,2020-04-04,2020-04-06,"Live Phone",875,"RV",53,42,"--","--"
"175","Climate Nexus",2020-04-03,2020-04-05,2020-04-07,"Internet",3168,"RV",47,41,"--","--"
"176","Monmouth University",2020-04-03,2020-04-05,2020-04-07,"Live Phone",743,"RV",48,44,"--","--"
"177","Fox News",2020-04-04,2020-04-05,2020-04-07,"Live Phone",1107,"RV",42,42,"--","--"
"178","YouGov",2020-04-05,2020-04-06,2020-04-07,"Internet",1147,"RV",48,42,"--","--"
"179","Ipsos",2020-04-06,2020-04-06,2020-04-07,"Internet",959,"RV",43,37,"--","--"
"180","YouGov",2020-04-06,2020-04-06,2020-04-07,"Internet",1139,"RV",49,40,"--","--"
"181","Firehouse Strategies/Øptimus",2020-04-04,2020-04-07,2020-04-10,"Internet",814,"LV",53,43,"--","--"
"182","Global Strategy Group",2020-04-06,2020-04-08,2020-04-10,"Internet",1002,"LV",49,45,"--","--"
"183","Morning Consult",2020-04-06,2020-04-09,2020-04-12,"Internet",25372,"RV",45,42,"--","--"
"184","Pew Research Center",2020-04-08,2020-04-10,2020-04-12,"Internet",4125,"RV",47,45,"--","--"
"185","Firehouse Strategies/Øptimus",2020-04-07,2020-04-10,2020-04-14,"Internet",732,"LV",54,42,"--","--"
"186","Democracy Fund/UCLA Nationscape",2020-04-09,2020-04-12,2020-04-15,"Internet",5036,"RV",48,43,"--","--"
"187","YouGov",2020-04-12,2020-04-13,2020-04-14,"Internet",1166,"RV",48,43,"--","--"
"188","Ipsos",2020-04-13,2020-04-13,2020-04-14,"Internet",937,"RV",45,40,"--","--"
"189","Change Research",2020-04-13,2020-04-14,2020-04-15,"Internet",1349,"LV",50,40,"--","--"
"190","Data for Progress",2020-04-14,2020-04-14,2020-04-14,"Internet",788,"RV",50,46,"--","--"
"191","NBC News/The Wall Street Journal",2020-04-13,2020-04-14,2020-04-15,"Live Phone",900,"RV",49,42,"--","--"
"192","Firehouse Strategies/Øptimus",2020-04-11,2020-04-14,2020-04-18,"Internet",745,"LV",52,44,"--","--"
"193","Harris Poll",2020-04-14,2020-04-15,2020-04-16,"Internet",2190,"LV",53,47,"--","--"
"194","Harris Poll",2020-04-14,2020-04-15,2020-04-16,"Internet",2394,"RV",54,46,"--","--"
"195","Morning Consult",2020-04-13,2020-04-16,2020-04-19,"Internet",31482,"RV",47,42,"--","--"
"196","RMG Research",2020-04-16,2020-04-17,2020-04-18,"IVR/Internet",1200,"RV",49,40,"--","--"
"197","Change Research",2020-04-17,2020-04-17,2020-04-18,"Internet",1178,"LV",48,44,"--","--"
"198","Firehouse Strategies/Øptimus",2020-04-14,2020-04-17,2020-04-21,"Internet",829,"LV",53,44,"--","--"
"199","Fordham University",2020-04-16,2020-04-18,2020-04-20,"Internet/Live Phone",862,"RV",56,42,"--","--"
"200","Ipsos",2020-04-15,2020-04-18,2020-04-21,"Internet",3806,"RV",47,39,"--","--"
"201","Climate Nexus",2020-04-19,2020-04-19,2020-04-19,"Internet",1917,"RV",49,40,"--","--"
"202","Echelon Insights",2020-04-18,2020-04-19,2020-04-21,"Internet",1000,"LV",52,43,"--","--"
"203","HarrisX",2020-04-19,2020-04-19,2020-04-20,"Internet",958,"RV",42,40,"--","--"
"204","YouGov",2020-04-19,2020-04-20,2020-04-21,"Internet",1144,"RV",48,42,"--","--"
"205","Data for Progress",2020-04-21,2020-04-21,2020-04-21,"Internet",850,"RV",49,45,"--","--"
"206","Redfield & Wilton Strategies",2020-04-21,2020-04-21,2020-04-21,"Internet",1500,"LV",49,40,"--","--"
"207","Firehouse Strategies/Øptimus",2020-04-18,2020-04-21,2020-04-25,"Internet",784,"LV",52,44,"--","--"
"208","Morning Consult",2020-04-20,2020-04-23,2020-04-26,"Internet",30560,"RV",46,42,"--","--"
"209","Suffolk University",2020-04-21,2020-04-23,2020-04-25,"Live Phone",1000,"RV",44,38,"--","--"
"210","RMG Research",2020-04-23,2020-04-24,2020-04-25,"IVR/Internet",1200,"RV",46,38,"--","--"
"211","Firehouse Strategies/Øptimus",2020-04-21,2020-04-24,2020-04-28,"Internet",766,"LV",49,45,"--","--"
"212","Emerson College",2020-04-26,2020-04-27,2020-04-28,"IVR/Internet",1200,"RV",54,46,"--","--"
"213","YouGov",2020-04-26,2020-04-27,2020-04-28,"Internet",1222,"RV",47,41,"--","--"
"214","IBD/TIPP",2020-04-26,2020-04-27,2020-04-29,"Internet",948,"RV",43,43,"--","--"
"215","Data for Progress",2020-04-28,2020-04-28,2020-04-28,"Internet",885,"RV",52,43,"--","--"
"216","Ipsos",2020-04-27,2020-04-28,2020-04-29,"Internet",1876,"RV",45,39,"--","--"
"217","Firehouse Strategies/Øptimus",2020-04-25,2020-04-28,2020-05-02,"Internet",765,"LV",50,45,"--","--"
"218","YouGov",2020-04-28,2020-04-29,2020-05-01,"Internet",1671,"LV",49,43,"--","--"
"219","Morning Consult",2020-04-27,2020-04-30,2020-05-03,"Internet",31117,"RV",46,42,"--","--"
"220","RMG Research",2020-04-30,2020-05-01,2020-05-02,"IVR/Internet",1200,"RV",46,39,"--","--"
"221","Firehouse Strategies/Øptimus",2020-04-28,2020-05-01,2020-05-05,"Internet",758,"LV",51,45,"--","--"
"222","Change Research",2020-05-01,2020-05-02,2020-05-03,"Internet",1489,"LV",47,44,"--","--"
"223","Monmouth University",2020-04-30,2020-05-02,2020-05-04,"Live Phone",739,"RV",50,41,"--","--"
"224","YouGov",2020-05-03,2020-05-04,2020-05-05,"Internet",1209,"RV",46,42,"--","--"
"225","Ipsos",2020-05-04,2020-05-04,2020-05-05,"Internet",1015,"RV",43,41,"--","--"
"226","YouGov",2020-05-04,2020-05-04,2020-05-05,"Internet",1224,"RV",45,42,"--","--"
"227","Data for Progress",2020-05-05,2020-05-05,2020-05-05,"Internet",783,"RV",51,44,"--","--"
"228","Firehouse Strategies/Øptimus",2020-05-02,2020-05-05,2020-05-09,"Internet",726,"LV",50,45,"--","--"
"229","HarrisX",2020-05-06,2020-05-06,2020-05-06,"Internet",957,"RV",41,41,"--","--"
"230","Morning Consult",2020-05-04,2020-05-07,2020-05-10,"Internet",27754,"RV",45,42,"--","--"
"231","RMG Research",2020-05-07,2020-05-08,2020-05-09,"IVR/Internet",1200,"RV",44,38,"--","--"
"232","CNN/SSRS",2020-05-07,2020-05-08,2020-05-10,"Live Phone",1001,"RV",51,46,"--","--"
"233","Firehouse Strategies/Øptimus",2020-05-05,2020-05-08,2020-05-12,"Internet",728,"LV",52,43,"--","--"
"234","Redfield & Wilton Strategies",2020-05-08,2020-05-08,2020-05-09,"Internet",1500,"LV",47,40,"--","--"
"235","YouGov",2020-05-10,2020-05-11,2020-05-12,"Internet",1175,"RV",47,43,"--","--"
"236","Ipsos",2020-05-11,2020-05-11,2020-05-12,"Internet",973,"RV",46,38,"--","--"
"237","Data for Progress",2020-05-12,2020-05-12,2020-05-12,"Internet",666,"RV",50,43,"--","--"
"238","Firehouse Strategies/Øptimus",2020-05-09,2020-05-12,2020-05-16,"Internet",780,"LV",52,41,"--","--"
"239","Harris Poll",2020-05-13,2020-05-13,2020-05-14,"Internet",1708,"LV",53,47,"--","--"
"240","Harris Poll",2020-05-13,2020-05-13,2020-05-14,"Internet",1854,"RV",53,47,"--","--"
"241","HarrisX",2020-05-13,2020-05-13,2020-05-14,"Internet",950,"RV",42,41,"--","--"
"242","Morning Consult",2020-05-11,2020-05-14,2020-05-17,"Internet",28159,"RV",46,41,"--","--"
"243","Firehouse Strategies/Øptimus",2020-05-12,2020-05-15,2020-05-19,"Internet",774,"LV",52,42,"--","--"
"244","Kaiser Family Foundation",2020-05-13,2020-05-15,2020-05-18,"Live Phone",970,"RV",43,41,"--","--"
"245","Change Research",2020-05-15,2020-05-16,2020-05-17,"Internet",1424,"LV",48,45,"--","--"
"246","Quinnipiac University",2020-05-14,2020-05-16,2020-05-18,"Live Phone",1323,"RV",50,39,"--","--"
"247","YouGov",2020-05-17,2020-05-18,2020-05-19,"Internet",1235,"RV",47,42,"--","--"
"248","Fox News",2020-05-17,2020-05-18,2020-05-20,"Live Phone",1207,"RV",48,40,"--","--"
"249","Ipsos",2020-05-18,2020-05-18,2020-05-19,"Internet",957,"RV",47,38,"--","--"
"250","Rasmussen Reports/Pulse Opinion Research",2020-05-18,2020-05-18,2020-05-19,"IVR/Internet",1000,"LV",48,43,"--","--"
"251","Data for Progress",2020-05-19,2020-05-19,2020-05-19,"Internet",800,"RV",52,42,"--","--"
"252","Echelon Insights",2020-05-18,2020-05-19,2020-05-20,"Internet",1000,"LV",51,42,"--","--"
"253","Firehouse Strategies/Øptimus",2020-05-16,2020-05-19,2020-05-23,"Internet",766,"LV",54,43,"--","--"
